"query","search interest","increase percent"
"strawberry matcha latte",12,"Breakout"
"cold matcha latte",11,"Breakout"
"starbucks iced matcha latte calories",10,"Breakout"
"benefits of matcha latte",7,"Breakout"
"how many calories in a matcha latte",6,"Breakout"
"blue matcha latte",5,"Breakout"
"collagen matcha latte",4,"Breakout"
"how much caffeine in matcha latte",4,"Breakout"
"luxe slim matcha latte",4,"Breakout"
"hot matcha latte recipe",4,"Breakout"
"does matcha latte have caffeine",4,"Breakout"
"cappuccino",4,"Breakout"
"cortado",3,"Breakout"
"pistachio latte",3,"Breakout"
"matcha set",3,"Breakout"
"best milk for matcha latte",3,"Breakout"
"how to make hot matcha latte",2,"Breakout"
"iced matcha latte calories",23,"190%"
"coconut milk",25,"160%"
"vanilla matcha latte",17,"140%"
"matcha latte near me",11,"140%"
"matcha calories",93,"100%"
"iced matcha latte starbucks calories",10,"100%"
"matcha latte calories",92,"90%"
"calories in matcha latte",32,"90%"
"matcha latte caffeine",18,"80%"
"what is latte",27,"70%"
"matcha ice latte",15,"70%"
"ice matcha latte",14,"60%"
"what is matcha",27,"50%"
"mocha",12,"50%"
"starbucks uae",7,"50%"
"hot matcha latte",19,"50%"
"iced matcha latte",99,"40%"
"how to make a matcha latte",8,"40%"
"iced matcha",99,"30%"
"matcha iced latte",100,"30%"
"what is matcha latte",28,"30%"
"matcha latte coffee",41,"30%"
"matcha latte starbucks calories",28,"30%"
"starbucks matcha latte calories",28,"30%"
"how many calories in matcha latte",15,"30%"
"is matcha latte healthy",7,"30%"
"how to make iced matcha latte",13,"20%"
"macha",6,"4%"
"iced matcha latte starbucks",27,"2%"
"starbucks matcha powder",4,"-5%"
"spanish latte",11,"-8%"
"starbucks",96,"-10%"
"matcha powder",32,"-10%"
