"query","search interest","increase percent"
"spicy cafe",3,"Breakout"
"matcha cafe near me",2,"Breakout"
"matcha near me",2,"Breakout"
"saddle cafe",1,"Breakout"
"sasu cafe",1,"Breakout"
"kumbakonam cafe",1,"Breakout"
"momos near me",1,"Breakout"
"flower shop near me",1,"Breakout"
"chai wala cafe",1,"Breakout"
"kunafa near me",1,"Breakout"
"heal cafe",1,"Breakout"
"english breakfast near me",1,"Breakout"
"board game cafe",3,"700%"
"mandi restaurant near me",2,"350%"
"lims cafe",7,"250%"
"cat cafe near me",7,"200%"
"lims cafe near me",7,"200%"
"board game cafe near me",3,"200%"
"cat cafe",7,"180%"
"cat cafe dubai",2,"170%"
"bhukkad cafe",1,"160%"
"petrol station near me",1,"140%"
"darjeeling cafe",2,"120%"
"pakistani restaurant near me",2,"110%"
"rain cafe",2,"100%"
"mcdonald's near me",2,"100%"
"buffet near me",3,"90%"
"best tea cafe",3,"90%"
"mc cafe near me",2,"90%"
"playstation cafe near me",1,"90%"
"pasta near me",1,"80%"
"shawarma cafe",7,"80%"
"shawarma near me",7,"60%"
"library near me",2,"50%"
"saya cafe",2,"50%"
"best breakfast near me",3,"50%"
"salon near me",2,"50%"
"tim hortons near me",2,"50%"
"baskin robbins near me",1,"40%"
"good cafe near me",6,"40%"
"tea shop near me",1,"40%"
"cafe and restaurant near me",12,"30%"
"veg restaurants near me",1,"30%"
"shisha place near me",2,"30%"
"resturants near me",1,"30%"
"tim hortons",2,"30%"
"nice cafe near me",3,"30%"
"restaurant near me",72,"30%"
"dessert near me",3,"30%"
"near me restaurant",72,"30%"
